#agent	time	s_region	s_node	t_region	t_node
208	12334	454	362	294	398
209	12338	450	360	291	407
210	12350	454	362	276	381
211	12457	453	364	378	483
212	12486	415	520	454	362
213	12562	453	364	416	521
214	12612	342	416	453	364
215	12665	453	364	275	380
216	12775	389	494	449	359
217	12888	452	363	407	587
218	12989	454	362	347	408
219	13070	325	441	452	363
220	13165	452	363	393	505
221	13251	454	362	336	452
222	13254	450	360	332	448
223	13254	423	528	453	364
224	13360	454	362	351	466
225	13363	430	535	451	361
226	13471	454	362	441	544
227	13553	366	462	449	359
228	13568	359	474	451	361
229	13634	300	404	449	359
230	13708	330	446	454	362
231	13737	280	385	450	360
232	13773	403	508	452	363
233	13858	453	364	285	390
234	13943	449	359	379	484
235	13979	262	367	454	362
236	13986	449	359	418	523
237	14037	379	484	452	363
238	14073	453	364	325	441
239	14132	452	363	327	443
240	14250	454	362	413	518
241	14280	317	423	452	363
242	14377	449	359	410	515
243	14478	354	469	452	363
244	14552	374	479	453	364
245	14552	449	359	320	421
246	14616	451	361	399	499
247	14650	452	363	395	503
248	14747	318	419	452	363
249	14862	321	422	450	360
250	14881	331	447	453	364
251	14933	414	519	450	360
252	15035	452	363	403	508
253	15152	356	471	452	363
254	15172	444	541	449	359
255	15262	420	525	454	362
256	15307	450	360	424	529
257	15391	421	526	451	361
258	15477	377	482	453	364
259	15529	453	364	422	527
260	15603	352	467	453	364
261	15704	454	362	301	405
262	15807	453	364	421	526
263	15839	384	489	451	361
264	15915	449	359	298	402
265	15938	396	502	452	363
266	15941	324	440	451	361
267	15943	451	361	357	472
268	15966	450	360	288	393
269	16029	454	362	390	495
270	16135	381	486	450	360
271	16157	450	360	421	526
272	16202	421	526	453	364
273	16246	449	359	337	453
274	16331	419	524	450	360
275	16446	451	361	356	471
276	16551	454	362	367	461
277	16665	419	524	452	363
278	16754	452	363	349	410
279	16813	352	467	454	362
280	16885	450	360	377	482
281	17001	452	363	389	494
282	17043	359	474	450	360
283	17140	449	359	370	458
284	17207	418	523	451	361
285	17310	451	361	420	525
286	17422	278	383	451	361
287	17442	451	361	295	399
288	17526	453	364	340	418
289	17561	355	470	453	364
290	17603	403	508	454	362
291	17626	366	462	454	362
292	17668	449	359	379	484
293	17763	376	481	453	364
294	17808	454	362	335	451
295	17861	335	451	453	364
296	17944	432	537	453	364
297	17985	370	458	450	360
298	18026	452	363	314	426
299	18137	363	465	453	364
300	18159	449	359	402	507
301	18222	454	362	400	498
302	18294	451	361	386	491
303	18381	450	360	325	441
304	18383	453	364	303	437
305	18416	450	360	266	371
306	18482	452	363	279	384
307	18581	449	359	319	420
308	18701	356	471	453	364
309	18753	429	534	451	361
310	18843	392	497	449	359
311	18917	414	519	451	361
312	19005	449	359	316	424
313	19063	452	363	428	533
314	19164	449	359	351	466
315	19274	272	377	450	360
316	19314	418	523	453	364
317	19326	453	364	340	418
318	19393	454	362	359	474
319	19417	454	362	306	434
320	19521	449	359	427	532
321	19562	400	498	453	364
322	19666	411	516	449	359
323	19674	452	363	429	534
324	19791	340	418	450	360
325	19880	452	363	355	470
326	19930	454	362	331	447
327	19991	375	480	450	360
328	20052	285	390	454	362
329	20086	334	450	452	363
330	20192	327	443	452	363
331	20304	451	361	393	505
332	20408	450	360	406	511
333	20523	419	524	450	360
334	20631	399	499	454	362
335	20633	409	514	451	361
336	20698	400	498	449	359
337	20712	414	519	449	359
338	20758	453	364	354	469
339	20780	307	433	451	361
340	20782	449	359	283	388
341	20828	346	412	454	362
342	20946	371	457	449	359
343	21019	450	360	345	413
344	21120	357	472	450	360
345	21176	316	424	449	359
346	21257	453	364	422	527
347	21318	449	359	364	464
348	21346	450	360	396	502
349	21448	438	550	449	359
350	21481	454	362	354	469
351	21500	452	363	406	511
352	21516	334	450	450	360
353	21538	352	467	453	364
354	21617	329	445	454	362
355	21664	288	393	449	359
356	21700	453	364	310	430
357	21726	430	535	450	360
358	21726	449	359	348	409
359	21798	349	410	454	362
360	21838	357	472	452	363
361	21952	361	476	449	359
362	21958	427	532	451	361
363	22076	450	360	278	383
364	22157	451	361	347	408
365	22175	449	359	359	474
366	22294	454	362	274	379
367	22296	307	433	450	360
368	22411	395	503	451	361
369	22507	327	443	454	362
370	22581	449	359	310	430
371	22624	423	528	452	363
372	22669	450	360	444	541
373	22683	306	434	452	363
374	22716	450	360	279	384
375	22785	453	364	282	387
376	22829	300	404	449	359
377	22930	283	388	450	360
378	22938	378	483	452	363
379	23045	451	361	392	497
380	23100	454	362	400	498
381	23199	454	362	374	479
382	23260	312	428	450	360
383	23355	453	364	388	493
384	23417	390	495	449	359
385	23460	315	425	451	361
386	23578	450	360	390	495
387	23640	452	363	418	523
388	23735	450	360	277	382
389	23802	450	360	319	420
390	23847	278	383	450	360
391	23923	375	480	452	363
392	23967	372	456	452	363
393	24022	450	360	329	445
394	24110	269	374	450	360
395	24155	454	362	358	473
396	24231	454	362	277	382
397	24332	325	441	453	364
398	24444	373	478	453	364
399	24524	454	362	334	450
400	24609	390	495	451	361
401	24689	366	462	452	363
402	24724	452	363	273	378
403	24734	453	364	426	531
404	24745	363	465	452	363
405	24864	450	360	276	381
406	24896	321	422	449	359
407	24975	407	512	451	361
408	25027	418	523	453	364
409	25071	453	364	262	367
410	25163	453	364	417	522
411	25272	454	362	442	543
412	25368	454	362	416	521
413	25454	415	520	450	360
414	25549	383	488	453	364
415	25599	449	359	298	402
416	25703	318	419	451	361
417	25738	453	364	421	526
418	25757	295	399	453	364
419	25798	319	420	452	363
420	25846	449	359	380	485
421	25962	454	362	404	509
422	26002	268	373	452	363
423	26041	450	360	312	428
424	26101	454	362	352	467
425	26111	451	361	345	413
426	26218	450	360	379	484
427	26283	451	361	441	544
428	26351	275	380	454	362
429	26372	449	359	374	479
430	26394	415	520	449	359
431	26484	265	370	449	359
432	26553	318	419	449	359
433	26593	453	364	371	457
434	26709	369	459	452	363
435	26747	450	360	428	533
436	26863	451	361	365	463
437	26927	444	541	451	361
438	26977	421	526	451	361
439	27062	424	529	449	359
440	27163	453	364	260	365
441	27163	367	461	451	361
442	27199	410	515	449	359
443	27281	313	427	452	363
444	27359	454	362	278	383
445	27377	449	359	264	369
446	27386	452	363	406	511
447	27456	289	394	453	364
448	27531	454	362	347	408
449	27602	290	395	451	361
450	27655	304	436	450	360
451	27773	441	544	450	360
452	27826	330	446	453	364
453	27842	399	499	453	364
454	27885	453	364	404	509
455	27896	284	389	451	361
456	27996	428	533	449	359
457	28064	449	359	304	436
458	28074	451	361	321	422
459	28184	451	361	266	371
460	28194	295	399	453	364
461	28284	449	359	344	414
462	28384	349	410	452	363
463	28401	304	436	453	364
464	28412	272	377	451	361
465	28480	449	359	375	480
466	28535	453	364	370	458
467	28554	449	359	420	525
468	28645	381	486	452	363
469	28716	452	363	368	460
470	28743	355	470	454	362
471	28839	451	361	415	520
472	28845	342	416	454	362
473	28895	450	360	275	380
474	28915	329	445	452	363
475	28986	454	362	362	477
476	29049	430	535	453	364
477	29126	335	451	449	359
478	29178	454	362	331	447
479	29258	321	422	451	361
480	29339	379	484	450	360
481	29369	436	548	452	363
482	29439	387	492	449	359
483	29484	296	400	454	362
484	29515	361	476	450	360
485	29594	450	360	362	477
486	29700	270	375	449	359
487	29790	449	359	296	400
488	29899	386	491	449	359
489	29973	329	445	453	364
490	30004	452	363	440	545
491	30113	409	514	449	359
492	30135	294	398	449	359
493	30249	378	483	453	364
494	30323	392	497	449	359
495	30368	432	537	450	360
496	30374	451	361	444	541
497	30491	454	362	274	379
498	30571	453	364	416	521
499	30581	452	363	304	436
500	30664	452	363	288	393
501	30735	452	363	280	385
502	30806	338	454	453	364
503	30837	271	376	450	360
504	30931	452	363	311	429
505	30931	449	359	424	529
506	31012	396	502	453	364
507	31064	307	433	450	360
508	31103	371	457	449	359
509	31221	450	360	319	420
510	31264	285	390	453	364
511	31346	453	364	363	465
512	31456	292	396	454	362
513	31563	451	361	309	431
514	31671	332	448	450	360
515	31691	449	359	275	380
516	31737	452	363	419	524
517	31754	365	463	451	361
518	31779	274	379	452	363
519	31862	450	360	410	515
520	31892	454	362	290	395
521	31992	366	462	454	362
522	32102	449	359	357	472
523	32167	377	482	452	363
524	32234	261	366	451	361
525	32333	450	360	268	373
526	32358	453	364	388	493
527	32435	380	485	450	360
528	32453	449	359	406	511
529	32569	337	453	451	361
530	32652	335	451	450	360
531	32664	306	434	451	361
532	32698	454	362	371	457
533	32812	308	432	452	363
534	32812	453	364	336	452
535	32899	451	361	380	485
536	33010	342	416	449	359
537	33078	450	360	387	492
538	33092	363	465	453	364
539	33165	451	361	285	390
540	33182	453	364	392	497
541	33204	450	360	365	463
542	33223	267	372	452	363
543	33278	451	361	326	442
544	33355	454	362	348	409
545	33355	454	362	309	431
546	33410	274	379	452	363
547	33475	382	487	449	359
548	33522	453	364	271	376
549	33581	385	490	452	363
550	33581	452	363	343	415
551	33640	370	458	449	359
552	33641	451	361	308	432
553	33652	295	399	450	360
554	33744	449	359	289	394
555	33855	301	405	453	364
556	33944	451	361	322	438
557	34006	316	424	453	364
558	34047	449	359	317	423
559	34048	453	364	383	488
560	34052	452	363	377	482
561	34087	452	363	269	374
562	34197	363	465	451	361
563	34280	278	383	454	362
564	34359	288	393	451	361
565	34378	454	362	273	378
566	34483	430	535	452	363
567	34487	425	530	454	362
568	34549	326	588	453	364
569	34603	443	542	449	359
570	34712	449	359	323	439
571	34713	435	547	452	363
572	34795	328	444	452	363
573	34819	454	362	276	381
574	34882	403	508	450	360
575	34901	330	446	452	363
576	34981	451	361	325	441
577	35067	346	412	454	362
578	35157	435	547	449	359
579	35159	454	362	354	469
580	35258	444	541	454	362
581	35290	288	393	449	359
582	35409	294	398	449	359
583	35434	453	364	305	435
584	35554	449	359	426	531
585	35601	420	525	450	360
586	35657	451	361	418	523
587	35777	453	364	333	449
588	35801	265	370	454	362
589	35867	451	361	262	367
590	35968	449	359	275	380
591	35997	390	495	451	361
592	36062	451	361	387	492
593	36157	347	408	453	364
594	36166	450	360	354	469
595	36240	451	361	339	455
596	36268	452	363	408	513
597	36291	309	431	449	359
598	36321	449	359	305	435
599	36418	449	359	395	503
600	36474	328	444	451	361
601	36586	433	538	453	364
602	36591	452	363	378	483
603	36670	336	452	451	361
604	36768	454	362	300	404
605	36775	452	363	334	450
606	36823	453	364	436	548
607	36836	304	436	453	364
608	36929	451	361	272	377
609	36937	314	426	452	363
610	36951	454	362	336	452
611	37042	306	434	449	359
612	37125	452	363	314	426
613	37152	350	411	452	363
614	37196	277	382	452	363
615	37293	449	359	328	444
616	37334	378	483	450	360
617	37398	283	388	454	362
618	37479	385	490	452	363
619	37573	340	418	452	363
620	37679	305	435	449	359
621	37735	453	364	334	450
622	37742	273	378	454	362
623	37789	452	363	353	468
624	37804	406	511	452	363
625	37842	364	464	453	364
626	37889	452	363	338	454
627	37999	368	460	450	360
628	38075	454	362	316	424
629	38144	442	543	449	359
630	38251	373	478	454	362
631	38261	453	364	275	380
632	38275	428	533	451	361
633	38354	310	430	451	361
634	38447	401	506	450	360
635	38466	453	364	324	440
636	38504	370	458	452	363
637	38583	322	438	450	360
638	38642	454	362	293	397
639	38657	453	364	325	441
640	38657	348	409	452	363
641	38714	351	466	454	362
642	38763	265	370	449	359
643	38883	444	541	453	364
644	38896	453	364	345	413
645	38925	316	424	452	363
646	39045	451	361	437	549
647	39047	434	539	452	363
648	39132	450	360	354	469
649	39247	449	359	283	388
650	39288	362	477	452	363
651	39380	453	364	322	438
652	39486	452	363	383	488
653	39527	451	361	382	487
654	39547	449	359	399	499
655	39637	449	359	373	478
656	39661	321	422	454	362
657	39772	425	530	454	362
658	39831	312	428	451	361
659	39863	453	364	335	451
660	39881	449	359	439	546
661	39933	451	361	374	479
662	39963	449	359	423	528
663	40075	426	531	450	360
664	40169	450	360	425	530
665	40251	451	361	392	497
666	40350	347	408	452	363
667	40444	283	388	452	363
668	40531	450	360	295	399
669	40608	358	473	449	359
670	40675	416	521	452	363
671	40755	357	472	451	361
672	40842	452	363	317	423
673	40939	454	362	271	376
674	40958	450	360	332	448
675	41057	452	363	340	418
676	41109	409	514	453	364
677	41151	449	359	316	424
678	41228	451	361	291	407
679	41340	452	363	409	514
680	41369	414	519	452	363
681	41430	452	363	394	504
682	41479	298	402	452	363
683	41574	449	359	277	382
684	41693	450	360	418	523
685	41722	451	361	298	402
686	41786	374	479	452	363
687	41899	438	550	451	361
688	41943	449	359	349	410
689	41977	449	359	333	449
690	41992	428	533	451	361
691	42006	394	504	453	364
692	42123	362	477	454	362
693	42125	451	361	350	411
694	42235	362	477	452	363
695	42352	336	452	454	362
696	42447	453	364	304	436
697	42529	309	431	450	360
698	42546	295	399	452	363
699	42663	452	363	413	518
700	42664	277	382	453	364
701	42696	450	360	373	478
702	42762	358	473	449	359
703	42880	452	363	352	467
704	42964	366	462	451	361
705	43050	441	544	452	363
706	43090	439	546	450	360
707	43196	450	360	369	459
708	43271	286	391	452	363
709	43322	450	360	311	429
710	43425	418	523	450	360
711	43446	302	406	451	361
712	43459	454	362	341	417
713	43563	344	414	451	361
714	43592	402	507	450	360
715	43604	286	391	449	359
716	43694	382	487	451	361
717	43719	451	361	292	396
718	43730	450	360	267	372
719	43758	324	440	452	363
720	43798	389	494	449	359
721	43852	451	361	390	495
722	43933	452	363	287	392
723	44023	450	360	434	539
724	44073	454	362	354	469
725	44192	451	361	423	528
726	44242	423	528	453	364
727	44324	454	362	379	484
728	44434	273	378	454	362
729	44517	452	363	343	415
730	44530	328	444	452	363
731	44552	453	364	420	525
732	44592	452	363	342	416
733	44638	454	362	439	546
734	44737	449	359	360	475
735	44825	451	361	385	490
736	44881	299	403	449	359
737	44959	452	363	373	478
738	44993	450	360	428	533
739	45045	329	445	453	364
740	45048	451	361	286	391
741	45109	449	359	272	377
742	45155	282	387	453	364
743	45181	454	362	346	412
744	45215	283	388	451	361
745	45268	300	404	453	364
746	45339	449	359	350	411
747	45457	368	460	450	360
748	45568	282	387	449	359
749	45580	453	364	288	393
750	45630	267	372	453	364
751	45642	356	471	453	364
752	45750	452	363	413	518
753	45806	368	460	451	361
754	45912	454	362	371	457
755	45984	393	505	454	362
756	46041	335	451	453	364
757	46088	452	363	332	448
758	46151	289	394	449	359
759	46166	450	360	333	449
760	46251	391	496	451	361
761	46320	428	533	454	362
762	46378	453	364	357	472
763	46460	451	361	346	412
764	46464	411	516	451	361
765	46544	266	371	453	364
766	46561	451	361	351	466
767	46605	449	359	342	416
768	46725	453	364	417	522
769	46733	384	489	452	363
770	46827	297	401	454	362
771	46842	439	546	452	363
772	46939	330	446	451	361
773	46993	452	363	344	414
774	47113	451	361	290	395
775	47128	377	482	454	362
776	47162	452	363	360	475
777	47251	449	359	352	467
778	47300	454	362	372	456
779	47308	362	477	451	361
780	47337	453	364	324	440
781	47431	453	364	399	499
782	47438	414	519	450	360
783	47556	283	388	453	364
784	47625	451	361	334	450
785	47625	284	389	454	362
786	47708	368	460	453	364
787	47745	450	360	420	525
788	47803	280	385	454	362
789	47912	439	546	454	362
790	47933	260	365	451	361
791	48024	272	377	452	363
792	48062	453	364	345	413
793	48108	449	359	297	401
794	48228	454	362	433	538
795	48242	452	363	351	466
796	48252	322	438	451	361
797	48295	278	383	451	361
798	48325	395	503	454	362
799	48343	454	362	353	468
800	48419	454	362	327	443
801	48424	451	361	435	547
802	48514	449	359	289	394
803	48541	453	364	433	538
804	48652	453	364	324	440
805	48765	311	429	452	363
806	48793	392	497	449	359
807	48883	450	360	393	505
808	48991	279	384	450	360
809	49110	358	473	452	363
810	49117	453	364	283	388
811	49192	392	497	454	362
812	49251	451	361	351	466
813	49286	449	359	430	535
814	49379	279	384	453	364
815	49419	453	364	367	461
816	49437	451	361	290	395
817	49548	454	362	379	484
818	49605	284	389	449	359
819	49624	351	466	450	360
820	49695	424	529	450	360
821	49787	268	373	451	361
822	49854	296	400	453	364
823	49904	262	367	452	363
824	49989	449	359	274	379
825	50084	450	360	324	440
826	50110	453	364	272	377
827	50201	439	546	450	360
828	50277	418	523	452	363
829	50314	452	363	265	370
830	50400	449	359	374	479
831	50465	323	439	450	360
832	50529	452	363	355	470
833	50602	452	363	303	437
834	50648	353	468	454	362
835	50670	453	364	369	459
836	50757	451	361	308	432
837	50803	386	491	450	360
838	50885	453	364	330	446
839	50924	341	417	451	361
840	51003	449	359	261	366
841	51105	451	361	443	542
842	51141	454	362	299	403
843	51176	453	364	390	495
844	51276	371	457	450	360
845	51312	451	361	305	435
846	51327	350	411	452	363
847	51377	450	360	405	510
848	51398	454	362	264	369
849	51453	449	359	382	487
850	51474	453	364	323	439
851	51545	444	541	452	363
852	51662	275	380	453	364
853	51762	415	520	454	362
854	51858	357	472	452	363
855	51879	450	360	266	371
856	51907	407	587	451	361
857	51927	288	393	449	359
858	51930	277	382	452	363
859	51940	449	359	363	465
860	51995	450	360	325	441
861	52053	315	425	453	364
862	52123	306	434	451	361
863	52229	452	363	348	409
864	52346	267	372	453	364
865	52386	275	380	452	363
866	52421	454	362	373	478
867	52437	452	363	309	431
868	52437	449	359	282	387
869	52511	338	454	449	359
870	52565	450	360	406	511
871	52630	451	361	418	523
872	52686	266	371	452	363
873	52801	454	362	386	491
874	52870	322	438	449	359
875	52930	453	364	334	450
876	53031	425	530	449	359
877	53082	449	359	322	438
878	53111	451	361	433	538
879	53219	450	360	333	449
880	53291	358	473	449	359
881	53309	406	511	449	359
882	53356	449	359	430	535
883	53456	453	364	343	415
884	53559	420	525	453	364
885	53652	454	362	363	465
886	53663	293	397	449	359
887	53692	454	362	301	405
888	53745	327	443	454	362
889	53804	453	364	321	422
890	53862	348	409	449	359
891	53883	451	361	385	490
892	53922	454	362	412	517
893	53934	451	361	275	380
894	53975	285	390	450	360
895	54068	443	542	454	362
896	54079	384	489	450	360
897	54117	339	455	453	364
898	54213	278	383	454	362
899	54284	453	364	271	376
900	54328	449	359	289	394
901	54387	449	359	301	405
902	54452	378	483	454	362
903	54552	417	522	449	359
904	54657	449	359	387	492
905	54729	287	392	452	363
906	54838	453	364	389	494
907	54881	451	361	424	529
908	54914	341	417	454	362
909	54987	452	363	264	369
910	55091	363	465	454	362
911	55189	369	459	452	363
912	55198	454	362	374	479
913	55263	377	482	454	362
914	55282	379	484	451	361
915	55303	451	361	382	487
916	55375	449	359	309	431
917	55464	454	362	313	427
918	55473	449	359	366	462
919	55510	354	469	452	363
920	55542	413	518	452	363
921	55603	453	364	434	539
922	55670	452	363	415	520
923	55685	309	431	451	361
924	55764	331	447	454	362
925	55859	454	362	369	459
926	55931	367	461	454	362
927	55945	451	361	387	492
928	56061	451	361	268	373
929	56174	269	374	454	362
930	56187	450	360	386	491
931	56299	349	410	453	364
932	56301	453	364	300	404
933	56311	452	363	366	462
934	56360	450	360	421	526
935	56440	452	363	360	475
936	56506	263	368	449	359
937	56610	449	359	351	466
938	56636	439	546	453	364
939	56698	449	359	436	548
940	56751	400	498	454	362
941	56841	287	392	454	362
942	56857	400	498	450	360
943	56953	428	533	450	360
944	57071	453	364	325	441
945	57153	285	390	452	363
946	57190	373	478	449	359
947	57240	452	363	367	461
948	57324	451	361	295	399
949	57385	429	534	452	363
950	57460	452	363	409	514
951	57524	427	532	450	360
952	57552	369	459	453	364
953	57584	454	362	418	523
954	57682	449	359	383	488
955	57704	275	380	449	359
956	57774	286	391	454	362
957	57792	290	395	452	363
958	57826	396	502	453	364
959	57939	450	360	324	440
960	58026	321	422	452	363
961	58131	450	360	440	545
962	58153	312	428	449	359
963	58247	384	489	452	363
964	58282	451	361	313	427
965	58283	449	359	311	429
966	58379	405	510	453	364
967	58463	449	359	379	484
968	58467	451	361	421	526
969	58487	416	521	451	361
970	58520	452	363	356	471
971	58542	453	364	260	365
972	58621	450	360	358	473
973	58632	452	363	267	372
974	58707	427	532	450	360
975	58764	378	483	454	362
976	58863	452	363	357	472
977	58915	428	533	453	364
978	59008	449	359	324	440
979	59126	370	458	453	364
980	59209	293	397	449	359
981	59300	376	481	454	362
982	59304	344	414	453	364
983	59324	451	361	347	408
984	59383	454	362	319	420
985	59404	450	360	399	499
986	59470	451	361	392	497
987	59539	451	361	420	525
988	59542	402	507	454	362
989	59593	332	448	450	360
990	59633	451	361	318	419
991	59715	274	379	451	361
992	59750	452	363	407	587
993	59770	409	514	453	364
994	59845	450	360	332	448
995	59860	453	364	292	396
996	59881	451	361	377	482
997	59924	296	400	453	364
998	60042	451	361	375	480
999	60098	452	363	283	388
1000	60120	422	527	451	361
1001	60234	454	362	418	523
1002	60330	450	360	303	437
1003	60379	454	362	354	469
1004	60414	451	361	426	531
1005	60431	272	377	449	359
1006	60534	454	362	432	537
1007	60535	391	496	453	364
1008	60640	434	539	449	359
1009	60730	451	361	280	385
1010	60781	453	364	381	486
1011	60826	286	391	451	361
1012	60892	424	529	453	364
1013	60948	384	489	449	359
1014	61045	454	362	314	426
1015	61124	284	389	452	363
1016	61127	398	500	450	360
1017	61160	318	419	453	364
1018	61211	449	359	326	442
1019	61243	449	359	405	510
1020	61291	329	445	449	359
1021	61347	452	363	421	526
1022	61371	449	359	289	394
1023	61487	354	469	452	363
1024	61501	402	507	452	363
1025	61522	452	363	293	397
1026	61621	392	497	450	360
1027	61641	453	364	336	452
1028	61706	360	475	452	363
1029	61741	449	359	325	441
1030	61759	450	360	396	502
1031	61842	450	360	322	438
1032	61947	451	361	417	522
1033	62049	451	361	406	511
1034	62109	449	359	264	369
1035	62186	450	360	408	513
1036	62215	449	359	410	515
1037	62237	450	360	422	527
1038	62348	449	359	403	508
1039	62453	454	362	359	474
1040	62455	449	359	383	488
1041	62557	269	374	452	363
1042	62576	454	362	415	520
1043	62610	449	359	274	379
1044	62661	454	362	413	518
1045	62753	451	361	420	525
1046	62870	441	544	454	362
1047	62930	445	540	450	360
1048	62976	454	362	443	542
1049	63042	279	384	452	363
1050	63101	452	363	361	476
1051	63194	351	466	449	359
1052	63238	454	362	412	517
1053	63304	338	454	449	359
1054	63352	453	364	430	535
1055	63448	262	367	453	364
1056	63552	341	417	450	360
1057	63631	388	493	449	359
1058	63664	452	363	312	428
1059	63683	413	518	449	359
1060	63710	452	363	379	484
1061	63781	449	359	440	545
1062	63839	450	360	443	542
1063	63931	450	360	430	535
1064	63943	453	364	324	440
1065	64010	450	360	386	491
1066	64011	388	493	450	360
1067	64077	409	514	449	359
1068	64088	453	364	357	472
1069	64192	449	359	372	456
