#aid	arr(1)/dep(2)	ready_time	air	gate	runway
83	2	9495.26	452	322	1
84	2	9647.81	449	320	2
85	2	10197.41	449	410	2
86	1	10306.96	450	269	2
87	2	10372.01	449	387	2
88	2	10439.81	452	344	1
89	1	10508.77	450	345	2
90	1	10576.89	450	371	2
91	1	10703.93	454	433	3
92	1	10866.50	450	310	2
93	1	10937.64	450	351	2
94	2	11011.72	449	260	2
95	2	11080.77	449	373	2
96	2	11152.87	452	315	1
97	2	11914.01	449	436	2
98	2	12047.28	449	328	2
99	2	12206.58	449	394	2
100	2	12464.78	449	313	2
101	1	12574.84	450	355	2
102	1	12697.02	454	366	3
103	1	12897.72	450	443	2
104	1	12959.30	450	365	2
105	1	13028.09	450	277	2
106	1	13147.24	450	354	2
107	1	13217.03	450	301	2
108	1	13284.36	450	410	2
109	1	13423.75	454	359	3
110	2	13490.58	452	346	1
111	2	13564.17	452	323	1
112	2	13641.92	449	286	2
113	2	13736.37	452	298	1
114	2	13803.47	449	391	2
115	2	13918.61	452	336	1
116	2	14005.44	449	293	2
117	2	14158.28	449	435	2
118	1	14222.68	450	428	2
119	1	14299.73	454	397	3
120	1	14463.57	454	375	3
121	2	14541.12	449	369	2
122	1	14655.72	454	268	3
123	1	14716.74	454	301	3
124	1	14782.55	450	388	2
125	2	14876.35	452	322	1
126	2	14981.86	449	335	2
127	1	15059.50	450	338	2
128	1	15140.40	450	445	2
129	2	15248.71	452	271	1
130	2	15323.50	452	390	1
131	1	15393.21	450	286	2
132	2	15488.61	452	264	1
133	1	15588.34	454	379	3
134	1	15691.63	454	412	3
135	1	15774.19	454	430	3
136	2	15836.00	452	314	1
137	1	15950.05	454	366	3
138	1	16014.02	450	336	2
139	1	16122.35	454	309	3
140	2	16186.94	452	289	1
141	1	16362.30	450	408	2
142	1	16455.61	454	409	3
143	1	16528.94	454	290	3
144	1	16629.19	454	318	3
145	1	16715.59	454	264	3
146	1	18075.69	454	300	3
147	2	18136.78	449	377	2
148	2	18246.25	449	285	2
149	2	18314.85	449	316	2
150	1	18418.46	454	419	3
151	1	18487.15	454	433	3
152	1	18577.80	454	336	3
153	1	18691.68	450	356	2
154	1	18802.24	454	267	3
155	1	18914.25	454	372	3
156	1	19015.48	454	343	3
157	1	19075.88	450	403	2
158	1	19174.97	450	370	2
159	1	19281.90	450	337	2
160	1	19348.12	454	439	3
161	2	19442.66	452	270	1
162	1	20096.46	454	309	3
163	1	20580.31	454	320	3
164	1	20653.23	454	265	3
165	1	20824.88	454	368	3
166	2	20959.52	452	281	1
167	1	21039.30	450	361	2
168	1	21103.71	450	279	2
169	1	21236.59	450	332	2
170	2	21304.42	452	299	1
171	2	21366.95	452	314	1
172	2	21431.29	452	367	1
173	2	21512.76	452	371	1
174	2	21663.13	449	356	2
175	2	21725.52	449	405	2
176	2	21796.41	449	418	2
177	2	21859.35	449	431	2
178	1	21941.37	454	354	3
179	2	22001.87	449	309	2
180	2	22089.94	449	330	2
181	1	22180.00	454	340	3
182	1	22268.88	454	285	3
183	1	22379.32	454	277	3
184	1	22469.16	454	418	3
185	2	22543.81	449	347	2
186	1	22612.35	454	439	3
187	2	22689.59	449	282	2
188	1	22782.28	454	420	3
189	2	22864.93	449	389	2
190	1	22940.17	454	427	3
191	1	23015.15	450	275	2
192	2	23079.04	452	298	1
193	2	23140.57	449	359	2
194	1	23201.06	450	415	2
195	1	23305.80	450	403	2
196	1	23376.44	450	331	2
197	2	23474.91	452	442	1
198	1	23578.47	450	324	2
199	2	23641.90	452	317	1
200	1	23730.57	450	361	2
201	1	23772.99	454	278	3
202	1	23841.32	450	421	2
203	2	23929.33	452	410	1
204	1	23992.20	450	306	2
205	1	24068.50	450	364	2
206	2	24161.73	449	353	2
207	1	24259.24	450	382	2
208	1	24320.43	450	293	2
209	2	24392.82	452	303	1
210	2	24481.41	452	380	1
211	2	24563.33	452	429	1
212	1	24579.02	454	332	3
213	2	24682.16	452	326	1
214	1	24791.71	454	412	3
215	2	24792.69	452	423	1
216	2	24859.33	452	444	1
217	2	24935.48	452	425	1
218	2	25021.34	452	407	1
219	2	25085.52	452	339	1
220	1	25156.30	454	363	3
221	2	25269.38	452	381	1
222	2	25333.95	452	307	1
223	2	25422.89	449	424	2
224	2	25441.67	452	416	1
225	1	25525.62	450	267	2
226	1	25614.55	450	363	2
227	2	25678.08	449	345	2
228	2	25749.59	452	399	1
229	1	25799.37	454	265	3
230	1	25843.30	450	313	2
231	2	25932.86	452	404	1
232	1	26001.18	454	349	3
233	2	26030.60	449	382	2
234	2	26119.34	449	351	2
235	2	26179.56	449	282	2
236	2	26207.82	449	437	2
237	2	26295.00	452	379	1
238	2	26356.45	449	353	2
239	1	26372.62	454	431	3
240	2	26459.41	452	373	1
241	2	26526.06	452	413	1
242	1	26547.59	454	399	3
243	2	26617.73	449	349	2
244	1	26680.90	450	380	2
245	1	26761.90	450	286	2
246	2	26833.19	452	317	1
247	2	26908.63	449	325	2
248	1	26991.71	450	395	2
249	1	27059.70	450	393	2
250	2	27100.46	449	357	2
251	1	27164.01	450	307	2
252	2	27230.48	452	265	1
253	1	27238.54	454	398	3
254	2	27324.38	449	295	2
255	2	27336.74	452	293	1
256	2	27414.16	452	335	1
257	2	27497.15	452	358	1
258	1	27580.47	454	425	3
259	2	27601.13	452	275	1
260	1	27663.43	454	355	3
261	2	27700.78	449	388	2
262	2	27706.53	452	323	1
263	2	27771.30	452	384	1
264	1	27846.57	454	327	3
265	2	27860.95	452	347	1
266	2	27932.06	449	374	2
267	2	27971.90	452	405	1
268	2	28045.93	452	350	1
269	2	28126.24	452	262	1
270	2	28190.02	452	337	1
271	2	28254.06	452	400	1
272	2	28316.23	452	269	1
273	2	28379.25	452	360	1
274	2	28446.29	452	287	1
275	1	28470.47	454	282	3
276	2	28538.02	452	441	1
277	2	28599.65	452	273	1
278	1	28681.29	454	331	3
279	2	28691.52	452	285	1
280	2	28724.56	449	340	2
281	2	28879.40	452	444	1
282	2	28893.65	449	275	2
283	1	28962.60	454	394	3
284	2	28993.56	452	355	1
285	2	29065.23	449	337	2
286	2	29095.42	452	427	1
287	2	29146.46	449	292	2
288	2	29208.03	452	338	1
289	1	29289.43	454	292	3
290	2	29303.37	452	272	1
291	2	29391.41	449	319	2
292	1	29435.32	454	311	3
293	1	29485.26	450	304	2
294	2	29562.70	449	333	2
295	2	29654.42	449	361	2
296	2	29662.77	449	382	2
297	2	29731.32	449	367	2
298	2	29766.11	449	349	2
299	2	29832.94	449	260	2
300	1	29867.36	450	322	2
301	2	29947.48	449	280	2
302	2	30009.82	452	374	1
303	1	30075.89	450	435	2
304	2	30149.82	452	364	1
305	2	30236.89	452	327	1
306	1	30301.49	450	442	2
307	2	30366.03	449	276	2
308	2	30419.81	452	312	1
309	2	30483.46	452	271	1
310	2	30554.26	452	285	1
311	2	30615.86	452	368	1
312	1	30690.63	454	400	3
313	2	30708.62	452	428	1
314	2	30769.98	452	284	1
315	2	30831.01	452	445	1
316	2	30891.11	452	383	1
317	2	30969.51	452	430	1
318	2	31033.42	452	369	1
319	2	31097.98	452	418	1
320	2	31160.01	452	307	1
321	2	31225.81	452	370	1
322	2	31292.08	452	406	1
323	2	31354.09	452	423	1
324	2	31429.67	449	287	2
325	2	31515.95	452	439	1
326	1	31599.64	450	351	2
327	1	31673.83	450	331	2
328	1	31744.26	450	398	2
329	2	31808.71	452	291	1
330	2	31896.54	449	294	2
331	2	31925.93	452	431	1
332	2	32010.82	452	357	1
333	1	32053.70	454	350	3
334	2	32104.36	449	304	2
335	2	32112.60	452	411	1
336	2	32197.42	452	339	1
337	2	32261.95	452	347	1
338	1	32324.46	450	384	2
339	2	32485.49	452	385	1
340	2	32561.52	452	303	1
341	2	32586.63	449	441	2
342	2	32669.83	452	377	1
343	1	32707.36	454	353	3
344	2	32767.65	449	367	2
345	2	32771.02	452	445	1
346	2	32841.84	452	327	1
347	1	32889.12	454	422	3
348	1	32935.54	450	270	2
349	1	33003.97	450	324	2
350	2	33011.68	449	368	2
351	1	33068.92	454	315	3
352	2	33106.52	449	395	2
353	1	33121.48	450	437	2
354	2	33197.62	452	326	1
355	2	33270.00	452	403	1
356	1	33356.65	450	435	2
357	2	33436.12	452	371	1
358	1	33523.01	450	339	2
359	1	33523.74	454	354	3
360	2	33615.82	452	291	1
361	1	33705.97	450	286	2
362	1	33787.42	454	263	3
363	1	33800.94	450	366	2
364	1	33886.11	450	287	2
365	1	33965.49	450	332	2
366	1	34035.48	450	267	2
367	2	34095.76	452	362	1
368	2	34162.96	449	329	2
369	1	34237.78	450	390	2
370	2	34309.17	449	299	2
371	2	34346.47	452	301	1
372	2	34420.87	452	267	1
373	2	34484.18	452	311	1
374	1	34545.35	454	305	3
375	2	34584.47	452	279	1
376	2	34654.61	452	323	1
377	2	34715.17	452	264	1
378	2	34782.28	452	321	1
379	2	34845.55	452	268	1
380	2	34911.02	449	269	2
381	1	34950.81	450	427	2
382	1	35015.50	450	416	2
383	1	35085.12	450	318	2
384	1	35146.64	450	262	2
385	2	35178.73	449	285	2
386	2	35258.93	449	407	2
387	2	35338.60	449	354	2
388	1	35418.36	454	370	3
389	1	35432.67	450	358	2
390	2	35499.85	449	401	2
391	1	35574.18	450	361	2
392	1	35641.62	450	368	2
393	2	35712.23	452	426	1
394	1	35715.15	454	301	3
395	1	35800.29	454	405	3
396	1	35807.79	450	308	2
397	2	35875.78	449	397	2
398	2	35938.06	452	442	1
399	2	36062.96	452	330	1
400	2	36124.99	452	347	1
401	1	36191.76	454	360	3
402	1	36215.72	454	303	3
403	1	36242.88	454	319	3
404	1	36300.44	450	299	2
405	2	36368.59	449	428	2
406	1	36428.84	450	413	2
407	2	36494.21	449	314	2
408	2	36555.06	449	372	2
409	2	36616.19	452	327	1
410	1	36691.02	450	412	2
411	1	36760.92	450	273	2
412	1	36841.29	450	304	2
413	2	36904.71	449	302	2
414	2	36970.10	452	311	1
415	1	37051.26	450	430	2
416	1	37122.69	450	411	2
417	1	37185.32	454	289	3
418	1	37206.31	450	284	2
419	1	37280.07	454	312	3
420	1	37325.05	450	291	2
421	1	37390.44	454	331	3
422	2	37428.00	449	370	2
423	1	37494.99	450	262	2
424	2	37573.93	452	266	1
425	1	37594.36	454	417	3
426	1	37664.01	450	355	2
427	1	37725.78	450	391	2
428	2	37793.16	452	379	1
429	1	37847.00	454	428	3
430	2	37884.19	452	332	1
431	2	37952.38	452	434	1
432	1	38032.46	454	298	3
433	2	38052.18	452	270	1
434	1	38067.53	454	286	3
435	1	38126.41	454	309	3
436	1	38153.64	454	315	3
437	2	38158.70	452	348	1
438	2	38219.58	452	367	1
439	2	38281.33	452	391	1
440	2	38360.95	449	403	2
441	1	38417.79	454	321	3
442	1	38476.96	450	375	2
443	1	38554.29	454	274	3
444	2	38626.87	452	336	1
445	2	38692.03	449	267	2
446	2	38767.65	452	310	1
447	1	38840.07	450	381	2
448	1	38911.43	450	332	2
449	1	38977.40	454	386	3
450	2	39009.95	452	340	1
451	1	39089.66	450	410	2
452	1	39159.43	450	427	2
453	1	39204.58	454	400	3
454	1	39255.17	450	322	2
455	1	39315.90	450	429	2
456	2	39385.60	452	298	1
457	2	39449.70	452	408	1
458	1	39530.91	454	329	3
459	2	39531.06	452	293	1
460	1	39680.36	450	368	2
461	1	39745.99	450	341	2
462	2	39822.40	449	442	2
463	2	39857.29	449	266	2
464	2	39923.70	449	379	2
465	2	40008.86	449	358	2
466	2	40069.92	449	364	2
467	1	40135.12	450	277	2
468	1	40196.50	454	289	3
469	2	40224.14	449	403	2
470	2	40308.58	449	430	2
471	1	40372.79	450	269	2
472	1	40448.53	450	393	2
473	2	40534.40	452	292	1
474	1	40614.03	450	329	2
475	1	40684.61	454	373	3
476	2	40709.32	449	432	2
477	2	40719.21	449	332	2
478	1	40720.81	450	367	2
479	1	40784.77	450	396	2
480	2	40866.99	452	354	1
481	2	40916.97	449	428	2
482	2	40971.84	452	312	1
483	2	41049.94	452	359	1
484	2	41111.61	452	327	1
485	1	41113.82	454	438	3
486	1	41118.94	454	365	3
487	2	41204.08	449	373	2
488	1	41215.55	450	420	2
489	2	41294.05	452	302	1
490	2	41355.23	452	413	1
491	2	41416.47	452	363	1
492	1	41472.51	454	386	3
493	1	41509.59	450	286	2
494	2	41572.92	452	317	1
495	2	41639.55	452	341	1
496	2	41727.90	452	433	1
497	1	41740.32	454	407	3
498	2	41824.37	452	380	1
499	1	41859.82	454	366	3
500	1	41915.81	450	357	2
501	2	41978.32	452	438	1
502	2	42060.67	452	338	1
503	1	42062.98	454	442	3
504	1	42100.03	454	308	3
505	2	42157.73	452	282	1
506	2	42217.93	452	357	1
507	2	42278.72	452	374	1
508	1	42315.67	454	418	3
509	2	42372.60	452	388	1
510	2	42458.12	452	396	1
511	2	42523.14	452	349	1
512	2	42604.02	452	383	1
513	2	42677.23	452	314	1
514	2	42738.52	452	279	1
515	2	42795.37	449	427	2
516	2	42844.85	449	303	2
517	2	42849.50	452	353	1
518	1	42909.50	450	369	2
519	2	42980.97	452	437	1
520	2	43053.31	452	291	1
521	2	43122.53	452	407	1
522	2	43267.51	449	299	2
523	2	43310.76	452	271	1
524	2	43370.83	449	281	2
525	2	43421.06	452	339	1
526	2	43512.10	452	323	1
527	1	43523.52	454	376	3
528	1	43535.08	454	382	3
529	1	43619.13	450	412	2
530	2	43625.73	449	290	2
531	2	43694.49	449	437	2
532	2	43737.18	452	314	1
533	2	43826.53	452	422	1
534	1	43897.33	454	400	3
535	1	43927.81	450	287	2
536	1	43989.91	450	300	2
537	1	44010.41	454	337	3
538	2	44083.55	449	356	2
539	1	44099.31	450	302	2
540	1	44164.55	450	355	2
541	1	44228.85	450	325	2
542	2	44292.27	452	351	1
543	2	44301.34	449	444	2
544	1	44364.99	454	366	3
545	2	44403.69	452	352	1
546	1	44411.65	454	266	3
547	2	44500.51	452	379	1
548	2	44589.04	452	295	1
549	2	44663.32	449	363	2
550	2	44706.02	452	334	1
551	2	44766.66	452	431	1
552	2	44826.73	452	270	1
553	2	44891.87	452	327	1
554	2	44965.83	452	309	1
555	2	45045.86	452	318	1
556	2	45109.60	452	419	1
557	1	45116.33	454	357	3
558	2	45206.04	452	332	1
559	2	45279.63	452	300	1
560	2	45349.04	452	287	1
561	2	45378.12	449	316	2
562	2	45456.10	452	325	1
563	2	45527.99	452	345	1
564	1	45555.58	454	432	3
565	2	45628.35	452	377	1
566	2	45697.19	449	439	2
567	1	45735.46	450	430	2
568	1	45757.41	454	362	3
569	2	45827.96	449	276	2
570	1	45896.58	450	298	2
571	2	45966.86	449	348	2
572	1	46056.85	450	309	2
573	1	46140.96	450	394	2
574	1	46205.40	454	428	3
575	1	46236.03	450	308	2
576	2	46299.85	449	423	2
577	1	46306.19	454	338	3
578	1	46347.74	454	261	3
579	2	46404.66	452	353	1
580	2	46466.74	452	378	1
581	1	46502.42	454	375	3
582	2	46564.28	452	330	1
583	2	46649.05	452	331	1
584	2	46721.72	452	262	1
585	2	46860.67	452	371	1
586	2	46921.18	452	393	1
587	2	46988.41	449	278	2
588	1	46995.82	454	445	3
589	1	47069.49	454	362	3
590	1	47087.90	454	411	3
591	1	47095.53	450	406	2
592	1	47117.56	454	303	3
593	1	47188.12	450	335	2
594	2	47275.40	452	282	1
595	2	47356.72	452	429	1
596	2	47428.56	452	285	1
597	2	47489.10	452	315	1
598	2	47502.35	449	408	2
599	1	47593.92	454	351	3
600	1	47596.37	454	289	3
601	2	47608.19	449	291	2
602	2	47670.87	449	438	2
603	2	47733.05	452	390	1
604	1	47769.73	454	300	3
605	1	47844.80	450	337	2
606	2	47911.35	452	275	1
607	2	47997.87	452	352	1
608	2	48080.38	449	297	2
609	2	48149.73	452	402	1
610	1	48191.48	454	333	3
611	1	48249.19	450	413	2
612	1	48309.41	450	271	2
613	1	48376.76	450	420	2
614	1	48452.99	450	260	2
615	1	48491.39	454	357	3
616	2	48563.82	452	361	1
617	2	48625.85	449	410	2
618	2	48686.06	449	279	2
619	1	48766.30	450	429	2
620	2	48826.38	449	398	2
621	1	48893.60	450	434	2
622	1	48897.71	454	374	3
623	2	48985.22	449	443	2
624	2	49072.85	449	422	2
625	1	49149.04	450	433	2
626	1	49188.25	454	361	3
627	1	49247.88	450	282	2
628	1	49310.34	450	349	2
629	1	49377.37	450	281	2
630	1	49387.39	454	360	3
631	2	49469.65	449	280	2
632	1	49552.61	454	277	3
633	1	49574.66	450	317	2
634	2	49640.84	449	423	2
635	2	49703.71	449	328	2
636	2	49791.18	449	319	2
637	2	49863.62	452	331	1
638	2	49890.85	449	421	2
639	1	49978.98	450	401	2
640	2	50067.68	452	274	1
641	2	50151.35	452	411	1
642	1	50167.15	454	308	3
643	1	50207.67	454	346	3
644	2	50265.29	452	382	1
645	2	50338.66	452	412	1
646	1	50465.60	454	441	3
647	1	50509.11	454	299	3
648	2	50516.90	452	386	1
649	2	50591.13	452	439	1
650	1	50675.33	450	389	2
651	2	50759.64	449	287	2
652	1	50839.13	450	416	2
653	1	50904.94	450	367	2
654	1	50965.29	454	305	3
655	1	51033.72	450	333	2
656	1	51097.15	450	373	2
657	2	51160.75	452	265	1
658	2	51232.85	449	418	2
659	2	51298.06	452	383	1
660	2	51363.73	452	313	1
661	1	51434.39	450	276	2
662	1	51522.72	450	406	2
663	2	51586.02	452	262	1
664	2	51646.25	449	429	2
665	1	51701.33	454	353	3
666	2	51738.88	449	277	2
667	1	51807.50	450	422	2
668	2	51894.97	449	381	2
669	1	51973.65	454	419	3
670	1	51991.87	454	432	3
671	2	52000.07	452	289	1
672	1	52069.42	454	412	3
673	1	52107.78	450	296	2
674	2	52185.87	452	390	1
675	2	52253.28	452	426	1
676	1	52342.26	454	444	3
677	2	52409.71	449	349	2
678	1	52471.80	454	301	3
679	2	52526.90	449	396	2
680	1	52611.33	454	345	3
681	1	52674.52	450	370	2
682	1	52758.91	450	394	2
683	2	52838.88	449	309	2
684	1	52861.06	454	311	3
685	2	52940.04	452	362	1
686	1	52944.91	454	363	3
687	1	52948.01	454	308	3
688	1	52966.10	454	326	3
689	2	53039.94	452	416	1
690	1	53078.40	454	398	3
691	2	53132.60	452	398	1
692	1	53198.20	450	306	2
693	2	53259.93	452	347	1
694	2	53347.91	452	382	1
695	1	53412.84	450	295	2
696	2	53481.27	452	366	1
697	2	53550.04	449	332	2
698	1	53615.00	450	335	2
699	1	53684.30	454	302	3
700	1	53730.07	450	287	2
701	2	53815.41	452	408	1
702	1	53886.36	454	418	3
703	1	53904.54	454	390	3
704	2	53916.13	452	346	1
705	2	54083.05	449	437	2
706	1	54171.21	454	315	3
707	1	54174.90	454	445	3
708	1	54201.19	450	261	2
709	2	54289.44	449	271	2
710	1	54360.85	454	373	3
711	2	54402.53	449	406	2
712	2	54463.59	449	426	2
713	2	54532.17	449	440	2
714	1	54559.99	454	392	3
715	1	54643.06	450	413	2
716	1	54714.92	450	368	2
717	1	54785.86	450	411	2
718	1	54859.28	450	275	2
719	1	54942.52	450	438	2
720	1	55018.33	450	329	2
721	1	55059.28	454	335	3
722	2	55130.55	449	264	2
723	1	55191.23	454	311	3
724	1	55268.55	454	409	3
725	2	55348.83	449	295	2
726	1	55436.98	450	358	2
727	1	55510.54	450	440	2
728	1	55577.19	450	437	2
729	1	55643.79	450	345	2
730	1	55706.86	450	370	2
731	1	55772.08	450	393	2
732	1	55847.66	454	443	3
733	1	55870.64	454	303	3
734	2	55883.13	452	362	1
735	1	55956.37	454	337	3
736	2	56022.08	449	329	2
737	2	56082.85	449	432	2
738	1	56151.51	454	429	3
739	2	56227.02	449	424	2
740	2	56306.03	449	384	2
741	2	56366.24	452	306	1
742	1	56440.94	450	274	2
743	2	56519.88	452	373	1
744	2	56581.51	452	435	1
745	1	56588.79	454	336	3
746	1	56638.29	454	363	3
747	1	56681.20	454	350	3
748	2	56691.65	452	409	1
749	2	56752.07	452	281	1
750	1	56815.47	450	268	2
751	1	56881.77	450	308	2
752	2	56954.79	452	292	1
753	2	57023.36	452	381	1
754	2	57103.38	452	411	1
755	2	57180.78	452	419	1
756	1	57227.22	454	371	3
757	1	57269.74	454	380	3
758	1	57271.72	454	374	3
759	1	57276.82	454	339	3
760	2	57298.37	452	282	1
761	1	57381.82	454	419	3
762	2	57407.20	452	298	1
763	2	57490.67	452	324	1
764	1	57570.17	454	416	3
765	2	57664.53	452	397	1
766	2	57725.38	452	445	1
767	2	57785.47	452	407	1
768	1	57855.39	454	356	3
769	2	57872.20	452	442	1
770	2	57933.67	452	405	1
771	1	57982.11	454	284	3
772	2	58040.07	452	433	1
773	1	58117.69	450	376	2
774	2	58192.01	452	370	1
775	1	58272.21	454	403	3
776	2	58283.25	452	302	1
777	2	58345.93	449	283	2
778	2	58401.02	452	401	1
779	2	58478.77	452	308	1
780	1	58533.82	454	363	3
781	2	58579.97	452	296	1
782	1	58654.77	450	404	2
783	2	58727.26	452	313	1
784	1	58808.51	454	317	3
785	1	58838.97	450	384	2
786	1	58863.65	454	338	3
787	1	58947.00	454	355	3
788	2	58949.65	452	332	1
789	1	59012.07	454	314	3
790	2	59051.93	449	398	2
791	2	59062.84	452	429	1
792	2	59139.57	452	344	1
793	1	59166.32	454	323	3
794	2	59233.10	452	260	1
795	1	59242.56	454	438	3
796	1	59316.93	454	400	3
797	2	59322.61	452	417	1
798	2	59361.08	449	275	2
799	2	59435.75	449	377	2
800	2	59441.95	452	261	1
801	1	59514.17	450	408	2
802	1	59594.72	450	308	2
803	1	59658.92	450	349	2
804	1	59726.93	450	430	2
805	1	59800.24	450	427	2
806	2	59860.70	449	388	2
807	2	59924.98	449	444	2
808	2	59971.83	449	414	2
809	2	60043.29	449	390	2
810	1	60120.13	450	364	2
811	1	60180.37	450	393	2
812	1	60240.58	450	414	2
813	1	60299.74	454	344	3
814	2	60347.08	449	379	2
815	1	60415.85	450	272	2
816	1	60459.95	454	301	3
817	1	60499.97	450	327	2
818	2	60582.59	449	420	2
819	1	60649.71	450	303	2
820	2	60723.92	452	341	1
821	2	60784.83	452	418	1
822	2	60864.39	452	422	1
823	2	60925.24	452	389	1
824	2	60987.39	452	385	1
825	1	61039.27	454	380	3
826	2	61087.47	452	293	1
827	1	61162.18	454	348	3
828	2	61277.72	452	358	1
829	1	61362.72	450	310	2
830	2	61432.56	449	409	2
831	2	61506.74	449	367	2
832	2	61538.97	449	357	2
833	2	61622.82	449	379	2
834	2	61683.43	452	280	1
835	1	61703.68	454	264	3
836	1	61789.99	450	421	2
837	2	61882.44	449	432	2
838	1	61958.65	450	317	2
839	1	62049.54	454	269	3
840	2	62070.18	449	407	2
841	2	62133.86	449	322	2
842	2	62209.77	449	408	2
843	1	62226.98	454	346	3
844	1	62314.28	454	304	3
845	2	62317.59	449	364	2
846	1	62356.30	454	292	3
847	2	62428.31	452	310	1
848	1	62509.64	450	441	2
849	1	62514.79	454	321	3
850	1	62516.35	454	393	3
851	1	62609.58	450	363	2
852	1	62674.86	450	390	2
853	1	62711.08	454	377	3
854	2	62773.54	452	339	1
855	2	62859.94	449	417	2
856	1	62943.81	450	330	2
857	1	62946.19	454	273	3
858	1	62956.28	454	359	3
859	1	63013.60	454	295	3
860	1	63054.31	454	350	3
861	2	63059.74	449	288	2
862	2	63129.76	452	362	1
863	2	63202.03	452	290	1
864	2	63268.00	452	275	1
865	1	63305.52	454	387	3
866	2	63378.02	449	266	2
867	2	63385.43	452	262	1
868	1	63464.06	450	373	2
869	1	63515.83	454	329	3
870	2	63565.92	452	434	1
871	1	63640.82	450	380	2
872	2	63666.83	449	356	2
873	2	63759.35	449	354	2
874	1	63801.14	454	341	3
875	1	63855.39	454	302	3
876	2	63855.89	452	318	1
877	1	63897.62	454	285	3
878	1	63964.44	450	435	2
879	1	64054.96	450	313	2
880	2	64127.12	452	296	1
881	2	64192.35	452	372	1
882	2	64253.41	452	414	1
883	2	64322.37	452	418	1
884	2	64395.66	452	444	1
885	1	64447.42	454	294	3
886	2	64497.75	452	435	1
887	2	64572.49	452	398	1
888	1	64633.39	450	349	2
889	1	64699.97	454	394	3
890	2	64729.04	452	360	1
891	2	64864.82	452	381	1
892	2	64934.37	452	298	1
893	1	65024.50	454	414	3
894	1	65024.59	454	260	3
895	1	65026.06	454	334	3
896	1	65035.50	454	442	3
897	1	65042.42	450	403	2
898	2	65103.53	449	273	2
899	1	65167.28	450	301	2
900	1	65173.73	454	342	3
901	1	65227.15	454	311	3
902	1	65271.71	450	383	2
903	1	65276.61	454	295	3
904	2	65362.67	452	301	1
905	1	65432.26	450	422	2
906	1	65509.02	450	288	2
907	1	65576.89	450	412	2
908	1	65642.62	454	436	3
909	1	65677.15	450	279	2
910	1	65717.18	454	441	3
911	1	65772.10	450	351	2
912	1	65806.51	454	338	3
913	2	65865.71	452	420	1
914	1	65938.32	450	429	2
915	1	66023.15	450	376	2
916	1	66055.41	454	386	3
917	2	66113.49	452	431	1
918	1	66121.91	454	379	3
919	2	66208.63	452	405	1
920	1	66288.09	454	401	3
921	1	66301.84	454	263	3
922	2	66306.96	452	364	1
923	2	66378.23	449	268	2
924	2	66444.43	452	330	1
925	2	66531.01	452	403	1
926	1	66594.60	450	262	2
927	1	66680.74	454	365	3
928	2	66701.98	452	387	1
929	2	66791.50	452	307	1
930	2	66870.22	452	289	1
